DZN_CODE_2011,DZN_CODE_2011,LGA_CODE_2018,LGA_CODE_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
110018063,110018063,13310,13310,1,Good,Good,0
110018064,110018064,13310,13310,1,Good,Good,0
110018065,110018065,13310,13310,1,Good,Good,0
110028068,110028068,17640,17640,1,Acceptable,Good,0
110028069,110028069,17640,17640,1,Acceptable,Good,0
110028070,110028070,17640,17640,1,Acceptable,Good,0
110028071,110028071,13310,13310,0.6679031,Good,Good,0
110028071,110028071,17640,17640,0.3320969,Acceptable,Good,0
110028072,110028072,17640,17640,0.9964804,Acceptable,Good,0
110028072,110028072,18350,18350,0.0035196,Good,Good,1
110028073,110028073,13310,13310,0.7346002,Good,Good,0
110028073,110028073,16490,16490,0.0865014,Good,Good,0
110028073,110028073,17640,17640,0.1697237,Acceptable,Good,0
110028073,110028073,18710,18710,0.0091747,Good,Good,1
110028074,110028074,13310,13310,0.9983757,Good,Good,0
110028074,110028074,17640,17640,0.001624,Acceptable,Good,1
110028074,110028074,18350,18350,3e-07,Good,Good,1
110038049,110038049,18710,18710,1,Good,Good,0
110038050,110038050,18710,18710,1,Good,Good,0
110048053,110048053,13910,13910,1,Good,Good,0
110048054,110048054,18710,18710,1,Good,Good,0
110048055,110048055,13910,13910,0.2507903,Good,Good,0
110048055,110048055,18710,18710,0.7492097,Good,Good,0
110048056,110048056,17640,17640,0.4897441,Acceptable,Good,0
110048056,110048056,18710,18710,0.5102559,Good,Good,0
110048057,110048057,17640,17640,1,Acceptable,Good,0
110048058,110048058,17080,17080,2e-07,Good,Good,1
110048058,110048058,18710,18710,0.9999998,Good,Good,0
110048059,110048059,18710,18710,1,Good,Good,0
110048060,110048060,18710,18710,1,Good,Good,0
110058039,110058039,13910,13910,1,Good,Good,0
110058040,110058040,13910,13910,1,Good,Good,0
110068043,110068043,13910,13910,1,Good,Good,0
110068044,110068044,13910,13910,1,Good,Good,0
110068045,110068045,13910,13910,1,Good,Good,0
110068046,110068046,13910,13910,1,Good,Good,0
110078098,110078098,13310,13310,0.2676029,Good,Good,0
110078098,110078098,16490,16490,0.7323971,Good,Good,0
110078099,110078099,16490,16490,1,Good,Good,0
110078100,110078100,16490,16490,1,Good,Good,0
110088084,110088084,16490,16490,1,Good,Good,0
110098077,110098077,16490,16490,1,Good,Good,0
110108087,110108087,16490,16490,1,Good,Good,0
110118090,110118090,16490,16490,1,Good,Good,0
110118091,110118091,16490,16490,1,Good,Good,0
110118092,110118092,16490,16490,1,Good,Good,0
110118093,110118093,16490,16490,1,Good,Good,0
110118094,110118094,13310,13310,0.4592891,Good,Good,0
110118094,110118094,16490,16490,0.5407109,Good,Good,0
110118095,110118095,16490,16490,0.5540432,Good,Good,0
110118095,110118095,17040,17040,0.4459568,Good,Good,0
110128080,110128080,16490,16490,1,Good,Good,0
110128081,110128081,16490,16490,1,Good,Good,0
110138120,110138120,17040,17040,1,Good,Good,0
110138121,110138121,17040,17040,1,Good,Good,0
110138122,110138122,10550,10550,1.9e-06,Good,Good,1
110138122,110138122,17040,17040,0.9999981,Good,Good,0
110138123,110138123,10550,10550,8.3e-06,Good,Good,1
110138123,110138123,17040,17040,0.9999917,Good,Good,0
110148117,110148117,17040,17040,1,Good,Good,0
110158112,110158112,17040,17040,1,Good,Good,0
110158113,110158113,17040,17040,1,Good,Good,0
110158114,110158114,10550,10550,5.5e-06,Good,Good,1
110158114,110158114,17040,17040,0.9999945,Good,Good,0
110168103,110168103,17040,17040,1,Good,Good,0
110168104,110168104,17040,17040,1,Good,Good,0
110168105,110168105,17040,17040,1,Good,Good,0
110168106,110168106,17040,17040,1,Good,Good,0
110168107,110168107,17040,17040,1,Good,Good,0
110168108,110168108,17040,17040,1,Good,Good,0
110168109,110168109,17040,17040,1,Good,Good,0
110178126,110178126,12750,12750,1,Good,Good,0
110188129,110188129,12750,12750,1,Good,Good,0
110198157,110198157,10550,10550,1,Good,Good,0
110198158,110198158,10550,10550,1,Good,Good,0
110198159,110198159,10550,10550,1,Good,Good,0
110208162,110208162,10550,10550,1,Good,Good,0
110208163,110208163,10550,10550,1,Good,Good,0
110208164,110208164,10550,10550,1,Good,Good,0
110208165,110208165,10550,10550,0.993777,Good,Good,0
110208165,110208165,12750,12750,0.006223,Good,Good,1
110208166,110208166,10550,10550,1,Good,Good,0
110208167,110208167,10550,10550,1,Good,Good,0
110208168,110208168,10550,10550,0.9999969,Good,Good,0
110208168,110208168,17040,17040,3.1e-06,Good,Good,1
110218132,110218132,12750,12750,1,Good,Good,0
110228147,110228147,10550,10550,0.4821607,Good,Good,0
110228147,110228147,12750,12750,0.5178215,Good,Good,0
110228147,110228147,17040,17040,1.78e-05,Good,Good,1
110238175,110238175,10550,10550,1,Good,Good,0
110248141,110248141,12750,12750,1,Good,Good,0
110248142,110248142,12750,12750,1,Good,Good,0
110248143,110248143,12750,12750,0.8564797,Good,Good,0
110248143,110248143,16950,16950,0.1435203,Good,Good,0
110248144,110248144,12750,12750,1,Good,Good,0
110258171,110258171,10550,10550,1,Good,Good,0
110258172,110258172,10550,10550,1,Good,Good,0
110268135,110268135,12750,12750,1,Good,Good,0
110268136,110268136,12750,12750,1,Good,Good,0
110268137,110268137,12750,12750,1,Good,Good,0
110268138,110268138,12750,12750,1,Good,Good,0
110278150,110278150,12750,12750,1,Good,Good,0
110278151,110278151,12750,12750,1,Good,Good,0
110278152,110278152,12750,12750,1,Good,Good,0
110278153,110278153,10550,10550,0.919783,Good,Good,0
110278153,110278153,12750,12750,0.080217,Good,Good,0
110278154,110278154,10550,10550,1,Good,Good,0
110286283,110286283,11650,11650,1,Good,Good,0
110286284,110286284,11650,11650,1,Good,Good,0
110296249,110296249,11650,11650,1,Good,Good,0
110296250,110296250,11650,11650,1,Good,Good,0
110296251,110296251,11650,11650,1,Good,Good,0
110296252,110296252,11650,11650,1,Good,Good,0
110296253,110296253,11650,11650,1,Good,Good,0
110306039,110306039,11650,11650,1,Good,Good,0
110306040,110306040,11650,11650,1,Good,Good,0
110306041,110306041,11650,11650,1,Good,Good,0
110306042,110306042,11650,11650,1,Good,Good,0
110306043,110306043,11650,11650,1,Good,Good,0
110306044,110306044,11650,11650,1,Good,Good,0
110306045,110306045,11650,11650,1,Good,Good,0
110316200,110316200,11650,11650,1,Good,Good,0
110316201,110316201,11650,11650,1,Good,Good,0
110316202,110316202,11650,11650,1,Good,Good,0
110316203,110316203,11650,11650,1,Good,Good,0
110316204,110316204,11650,11650,1,Good,Good,0
110316205,110316205,11650,11650,1,Good,Good,0
110316206,110316206,11650,11650,1,Good,Good,0
110326131,110326131,11650,11650,1,Good,Good,0
110326132,110326132,11650,11650,1,Good,Good,0
110326133,110326133,11650,11650,1,Good,Good,0
110326134,110326134,11650,11650,1,Good,Good,0
110326135,110326135,11650,11650,1,Good,Good,0
110326136,110326136,11650,11650,1,Good,Good,0
110326137,110326137,11650,11650,1,Good,Good,0
110326138,110326138,11650,11650,1,Good,Good,0
110336058,110336058,11650,11650,1,Good,Good,0
110336059,110336059,11650,11650,1,Good,Good,0
110346234,110346234,11650,11650,1,Good,Good,0
110346235,110346235,11650,11650,1,Good,Good,0
110346236,110346236,11650,11650,1,Good,Good,0
110356072,110356072,11650,11650,1,Good,Good,0
110366085,110366085,11650,11650,1,Good,Good,0
110366086,110366086,11650,11650,1,Good,Good,0
110366087,110366087,11650,11650,1,Good,Good,0
110366088,110366088,11650,11650,1,Good,Good,0
110376116,110376116,11650,11650,1,Good,Good,0
110376117,110376117,11650,11650,1,Good,Good,0
110376118,110376118,11650,11650,1,Good,Good,0
110386186,110386186,11650,11650,1,Good,Good,0
110386187,110386187,11650,11650,1,Good,Good,0
110396266,110396266,11650,11650,1,Good,Good,0
110396267,110396267,11650,11650,1,Good,Good,0
110396268,110396268,11650,11650,1,Good,Good,0
110396269,110396269,11650,11650,1,Good,Good,0
110396270,110396270,11650,11650,1,Good,Good,0
110406167,110406167,11650,11650,1,Good,Good,0
110406168,110406168,11650,11650,1,Good,Good,0
110406169,110406169,11650,11650,1,Good,Good,0
110406170,110406170,11650,11650,1,Good,Good,0
110406171,110406171,11650,11650,1,Good,Good,0
110406172,110406172,11650,11650,1,Good,Good,0
110406173,110406173,11650,11650,1,Good,Good,0
110416219,110416219,11650,11650,1,Good,Good,0
110416220,110416220,11650,11650,1,Good,Good,0
110416221,110416221,11650,11650,1,Good,Good,0
110426151,110426151,11650,11650,1,Good,Good,0
110426152,110426152,11650,11650,1,Good,Good,0
110426153,110426153,11650,11650,1,Good,Good,0
110426154,110426154,11650,11650,1,Good,Good,0
110436101,110436101,11650,11650,1,Good,Good,0
110436102,110436102,11650,11650,1,Good,Good,0
110436103,110436103,11650,11650,1,Good,Good,0
110446472,110446472,11650,11650,1,Good,Good,0
110446473,110446473,11650,11650,1,Good,Good,0
110446474,110446474,11650,11650,1,Good,Good,0
110446475,110446475,11650,11650,1,Good,Good,0
110446476,110446476,11650,11650,1,Good,Good,0
110446477,110446477,11650,11650,1,Good,Good,0
110446478,110446478,11650,11650,1,Good,Good,0
110446479,110446479,11650,11650,1,Good,Good,0
110456411,110456411,11650,11650,1,Good,Good,0
110456412,110456412,11650,11650,1,Good,Good,0
110466457,110466457,11650,11650,1,Good,Good,0
110466458,110466458,11650,11650,1,Good,Good,0
110466459,110466459,11650,11650,1,Good,Good,0
110476425,110476425,11650,11650,1,Good,Good,0
110476426,110476426,11650,11650,1,Good,Good,0
110476427,110476427,11650,11650,1,Good,Good,0
110476428,110476428,11650,11650,1,Good,Good,0
110476429,110476429,11650,11650,1,Good,Good,0
110486393,110486393,11650,11650,1,Good,Good,0
110486394,110486394,11650,11650,1,Good,Good,0
110486395,110486395,11650,11650,1,Good,Good,0
110486396,110486396,11650,11650,1,Good,Good,0
110486397,110486397,11650,11650,1,Good,Good,0
110486398,110486398,11650,11650,1,Good,Good,0
110496297,110496297,11650,11650,1,Good,Good,0
110496298,110496298,11650,11650,1,Good,Good,0
110506442,110506442,11650,11650,1,Good,Good,0
110506443,110506443,11650,11650,1,Good,Good,0
110506444,110506444,11650,11650,0.9999998,Good,Good,0
110506444,110506444,14650,14650,2e-07,Good,Good,1
110516311,110516311,11650,11650,1,Good,Good,0
110516312,110516312,11650,11650,1,Good,Good,0
110516313,110516313,11650,11650,1,Good,Good,0
110516314,110516314,11650,11650,1,Good,Good,0
110526380,110526380,11650,11650,1,Good,Good,0
110536492,110536492,11650,11650,1,Good,Good,0
110536493,110536493,11650,11650,1,Good,Good,0
110536494,110536494,11650,11650,1,Good,Good,0
110536495,110536495,11650,11650,1,Good,Good,0
110536496,110536496,11650,11650,1,Good,Good,0
110546509,110546509,11650,11650,1,Good,Good,0
110546510,110546510,11650,11650,1,Good,Good,0
110546511,110546511,11650,11650,1,Good,Good,0
110556343,110556343,11650,11650,1,Good,Good,0
110556344,110556344,11650,11650,1,Good,Good,0
110556345,110556345,11650,11650,1,Good,Good,0
110556346,110556346,11650,11650,1,Good,Good,0
110556347,110556347,11650,11650,1,Good,Good,0
110556348,110556348,11650,11650,1,Good,Good,0
110566361,110566361,11650,11650,1,Good,Good,0
110566362,110566362,11650,11650,1,Good,Good,0
110566363,110566363,11650,11650,1,Good,Good,0
110566364,110566364,11650,11650,1,Good,Good,0
110566365,110566365,11650,11650,1,Good,Good,0
110566366,110566366,11650,11650,1,Good,Good,0
110566367,110566367,11650,11650,1,Good,Good,0
110576327,110576327,11650,11650,1,Good,Good,0
110576328,110576328,11650,11650,1,Good,Good,0
110576329,110576329,11650,11650,1,Good,Good,0
110576330,110576330,11650,11650,1,Good,Good,0
110588281,110588281,10470,10470,1,Good,Good,0
110588282,110588282,10470,10470,1,Good,Good,0
110588283,110588283,10470,10470,1,Good,Good,0
110598286,110598286,10470,10470,1,Good,Good,0
110608289,110608289,10470,10470,1,Good,Good,0
