LGA_CODE_2014,LGA_NAME_2014,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury (C),10050,Albury (C),1,Good,Good,0
10110,Armidale Dumaresq (A),10130,Armidale Regional (A),1,Good,Good,0
10150,Ashfield (A),14170,Inner West (A),1,Good,Good,0
10200,Auburn (C),12380,Cumberland (A),0.8466554,Acceptable,Good,0
10200,Auburn (C),16260,Parramatta (C),0.1533446,Poor,Good,0
10250,Ballina (A),10250,Ballina (A),0.9999357,Good,Good,0
10250,Ballina (A),11350,Byron (A),6.43E-05,Good,Good,1
10300,Balranald (A),10300,Balranald (A),1,Good,Good,0
10350,Bankstown (C),11570,Canterbury-Bankstown (A),1,Good,Good,0
10470,Bathurst Regional (A),10470,Bathurst Regional (A),1,Good,Good,0
10550,Bega Valley (A),10550,Bega Valley (A),1,Good,Good,0
10600,Bellingen (A),10600,Bellingen (A),1,Good,Good,0
10650,Berrigan (A),10650,Berrigan (A),1,Good,Good,0
10750,Blacktown (C),10750,Blacktown (C),1,Good,Good,0
10800,Bland (A),10800,Bland (A),1,Good,Good,0
10850,Blayney (A),10850,Blayney (A),1,Good,Good,0
10900,Blue Mountains (C),10900,Blue Mountains (C),1,Good,Good,0
10950,Bogan (A),10950,Bogan (A),1,Good,Good,0
11000,Bombala (A),17040,Snowy Monaro Regional (A),1,Good,Good,0
11050,Boorowa (A),13910,Hilltops (A),1,Good,Good,0
11100,Botany Bay (C),10500,Bayside (A),1,Good,Good,0
11150,Bourke (A),11150,Bourke (A),1,Good,Good,0
11200,Brewarrina (A),11200,Brewarrina (A),1,Good,Good,0
11250,Broken Hill (C),11250,Broken Hill (C),1,Good,Good,0
11300,Burwood (A),11300,Burwood (A),1,Good,Good,0
11350,Byron (A),11350,Byron (A),1,Good,Good,0
11400,Cabonne (A),11400,Cabonne (A),1,Good,Good,0
11450,Camden (A),11450,Camden (A),0.9997409,Good,Good,0
11450,Camden (A),14900,Liverpool (C),0.0002591,Good,Good,1
11500,Campbelltown (C),11500,Campbelltown (C) (NSW),1,Good,Good,0
11520,Canada Bay (A),11520,Canada Bay (A),1,Good,Good,0
11550,Canterbury (C),11570,Canterbury-Bankstown (A),0.9995926,Good,Good,0
11550,Canterbury (C),12930,Georges River (A),0.0004074,Good,Good,1
11600,Carrathool (A),11600,Carrathool (A),1,Good,Good,0
11700,Central Darling (A),11700,Central Darling (A),1,Good,Good,0
11720,Cessnock (C),11720,Cessnock (C),1,Good,Good,0
11730,Clarence Valley (A),11730,Clarence Valley (A),0.9999999,Good,Good,0
11730,Clarence Valley (A),,,1.00E-07,NA,Good,4
11750,Cobar (A),11750,Cobar (A),1,Good,Good,0
11800,Coffs Harbour (C),11800,Coffs Harbour (C),1,Good,Good,0
11860,Conargo (A),12730,Edward River (A),1,Good,Good,0
12000,Coolamon (A),12000,Coolamon (A),1,Good,Good,0
12050,Cooma-Monaro (A),17040,Snowy Monaro Regional (A),1,Good,Good,0
12150,Coonamble (A),12150,Coonamble (A),1,Good,Good,0
12200,Cootamundra (A),12160,Cootamundra-Gundagai Regional (A),1,Good,Good,0
12300,Corowa Shire (A),12870,Federation (A),1,Good,Good,0
12350,Cowra (A),12350,Cowra (A),1,Good,Good,0
12500,Deniliquin (A),12730,Edward River (A),1,Good,Good,0
12600,Dubbo (C),12390,Dubbo Regional (A),1,Good,Good,0
12700,Dungog (A),12700,Dungog (A),1,Good,Good,0
12750,Eurobodalla (A),12750,Eurobodalla (A),1,Good,Good,0
12850,Fairfield (C),12850,Fairfield (C),1,Good,Good,0
12900,Forbes (A),12900,Forbes (A),0.9998232,Good,Good,0
12900,Forbes (A),18100,Weddin (A),0.0001768,Good,Good,1
12950,Gilgandra (A),12950,Gilgandra (A),1,Good,Good,0
13010,Glen Innes Severn (A),13010,Glen Innes Severn (A),1,Good,Good,0
13050,Gloucester (A),15240,Mid-Coast (A),1,Good,Good,0
13100,Gosford (C),11650,Central Coast (C) (NSW),1,Good,Good,0
13310,Goulburn Mulwaree (A),13310,Goulburn Mulwaree (A),1,Good,Good,0
13320,Great Lakes (A),15240,Mid-Coast (A),1,Good,Good,0
13340,Greater Hume Shire (A),13340,Greater Hume Shire (A),1,Good,Good,0
13380,Greater Taree (C),15240,Mid-Coast (A),1,Good,Good,0
13450,Griffith (C),13450,Griffith (C),1,Good,Good,0
13500,Gundagai (A),12160,Cootamundra-Gundagai Regional (A),0.9996587,Good,Good,0
13500,Gundagai (A),13910,Hilltops (A),0.0003413,Good,Good,1
13550,Gunnedah (A),13550,Gunnedah (A),1,Good,Good,0
13650,Guyra (A),10130,Armidale Regional (A),1,Good,Good,0
13660,Gwydir (A),13660,Gwydir (A),1,Good,Good,0
13700,Harden (A),13910,Hilltops (A),1,Good,Good,0
13800,Hawkesbury (C),13800,Hawkesbury (C),1,Good,Good,0
13850,Hay (A),13850,Hay (A),1,Good,Good,0
13950,Holroyd (C),12380,Cumberland (A),0.9640893,Acceptable,Good,0
13950,Holroyd (C),16260,Parramatta (C),0.0359107,Poor,Good,0
14000,Hornsby (A),14000,Hornsby (A),0.875004,Acceptable,Good,0
14000,Hornsby (A),16260,Parramatta (C),0.124996,Poor,Good,0
14100,Hunters Hill (A),14100,Hunters Hill (A),1,Good,Good,0
14150,Hurstville (C),12930,Georges River (A),1,Good,Good,0
14200,Inverell (A),14200,Inverell (A),1,Good,Good,0
14250,Jerilderie (A),15560,Murrumbidgee (A),1,Good,Good,0
14300,Junee (A),14300,Junee (A),1,Good,Good,0
14350,Kempsey (A),14350,Kempsey (A),1,Good,Good,0
14400,Kiama (A),14400,Kiama (A),1,Good,Good,0
14450,Kogarah (C),12930,Georges River (A),1,Good,Good,0
14500,Ku-ring-gai (A),14500,Ku-ring-gai (A),1,Good,Good,0
14550,Kyogle (A),14550,Kyogle (A),1,Good,Good,0
14600,Lachlan (A),14600,Lachlan (A),1,Good,Good,0
14650,Lake Macquarie (C),14650,Lake Macquarie (C),1,Good,Good,0
14650,Lake Macquarie (C),15900,Newcastle (C),0,Good,Good,1
14700,Lane Cove (A),14700,Lane Cove (A),1,Good,Good,0
14750,Leeton (A),14750,Leeton (A),1,Good,Good,0
14800,Leichhardt (A),14170,Inner West (A),1,Good,Good,0
14850,Lismore (C),14850,Lismore (C),1,Good,Good,0
14870,Lithgow (C),14870,Lithgow (C),1,Good,Good,0
14900,Liverpool (C),14900,Liverpool (C),1,Good,Good,0
14920,Liverpool Plains (A),14920,Liverpool Plains (A),1,Good,Good,0
14950,Lockhart (A),14950,Lockhart (A),1,Good,Good,0
15050,Maitland (C),15050,Maitland (C),1,Good,Good,0
15150,Manly (A),15990,Northern Beaches (A),1,Good,Good,0
15200,Marrickville (A),14170,Inner West (A),1,Good,Good,0
15270,Mid-Western Regional (A),15270,Mid-Western Regional (A),1,Good,Good,0
15300,Moree Plains (A),15300,Moree Plains (A),1,Good,Good,0
15350,Mosman (A),15350,Mosman (A),1,Good,Good,0
15500,Murray (A),15520,Murray River (A),1,Good,Good,0
15550,Murrumbidgee (A),11600,Carrathool (A),0,Good,Good,1
15550,Murrumbidgee (A),15560,Murrumbidgee (A),1,Good,Good,0
15650,Muswellbrook (A),15650,Muswellbrook (A),1,Good,Good,0
15700,Nambucca (A),15700,Nambucca (A),1,Good,Good,0
15750,Narrabri (A),15750,Narrabri (A),1,Good,Good,0
15800,Narrandera (A),15800,Narrandera (A),1,Good,Good,0
15850,Narromine (A),15850,Narromine (A),1,Good,Good,0
15900,Newcastle (C),14650,Lake Macquarie (C),0,Good,Good,1
15900,Newcastle (C),15900,Newcastle (C),1,Good,Good,0
15950,North Sydney (A),15950,North Sydney (A),1,Good,Good,0
16100,Oberon (A),16100,Oberon (A),1,Good,Good,0
16150,Orange (C),16150,Orange (C),1,Good,Good,0
16180,Palerang (A),16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
16200,Parkes (A),16200,Parkes (A),1,Good,Good,0
16250,Parramatta (C),12380,Cumberland (A),0.2109298,Acceptable,Good,0
16250,Parramatta (C),16260,Parramatta (C),0.7890283,Poor,Good,0
16250,Parramatta (C),17420,The Hills Shire (A),4.20E-05,Acceptable,Good,1
16350,Penrith (C),16350,Penrith (C),1,Good,Good,0
16370,Pittwater (A),15990,Northern Beaches (A),1,Good,Good,0
16380,Port Macquarie-Hastings (A),15240,Mid-Coast (A),0,Good,Good,1
16380,Port Macquarie-Hastings (A),16380,Port Macquarie-Hastings (A),1,Good,Good,0
16400,Port Stephens (A),16400,Port Stephens (A),1,Good,Good,0
16470,Queanbeyan (C),16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
16550,Randwick (C),16550,Randwick (C),1,Good,Good,0
16610,Richmond Valley (A),16610,Richmond Valley (A),1,Good,Good,0
16650,Rockdale (C),10500,Bayside (A),0.9999858,Good,Good,0
16650,Rockdale (C),12930,Georges River (A),1.42E-05,Good,Good,1
16700,Ryde (C),16700,Ryde (C),1,Good,Good,0
16900,Shellharbour (C),16900,Shellharbour (C),1,Good,Good,0
16950,Shoalhaven (C),16950,Shoalhaven (C),1,Good,Good,0
17000,Singleton (A),17000,Singleton (A),1,Good,Good,0
17050,Snowy River (A),17040,Snowy Monaro Regional (A),1,Good,Good,0
17100,Strathfield (A),11570,Canterbury-Bankstown (A),0,Good,Good,1
17100,Strathfield (A),17100,Strathfield (A),1,Good,Good,0
17150,Sutherland Shire (A),17150,Sutherland Shire (A),1,Good,Good,0
17200,Sydney (C),17200,Sydney (C),1,Good,Good,0
17310,Tamworth Regional (A),17310,Tamworth Regional (A),1,Good,Good,0
17350,Temora (A),17350,Temora (A),1,Good,Good,0
17400,Tenterfield (A),17400,Tenterfield (A),1,Good,Good,0
17420,The Hills Shire (A),16260,Parramatta (C),0.1641738,Poor,Good,0
17420,The Hills Shire (A),17420,The Hills Shire (A),0.8358262,Acceptable,Good,0
17450,Tumbarumba (A),17080,Snowy Valleys (A),1,Good,Good,0
17500,Tumut Shire (A),17080,Snowy Valleys (A),1,Good,Good,0
17550,Tweed (A),17550,Tweed (A),1,Good,Good,0
17620,Upper Hunter Shire (A),17620,Upper Hunter Shire (A),1,Good,Good,0
17640,Upper Lachlan Shire (A),17640,Upper Lachlan Shire (A),1,Good,Good,0
17650,Uralla (A),17650,Uralla (A),1,Good,Good,0
17700,Urana (A),12870,Federation (A),1,Good,Good,0
17750,Wagga Wagga (C),17750,Wagga Wagga (C),1,Good,Good,0
17800,Wakool (A),15520,Murray River (A),1,Good,Good,0
17850,Walcha (A),17850,Walcha (A),1,Good,Good,0
17900,Walgett (A),17900,Walgett (A),1,Good,Good,0
17950,Warren (A),17950,Warren (A),1,Good,Good,0
18000,Warringah (A),15990,Northern Beaches (A),1,Good,Good,0
18020,Warrumbungle Shire (A),18020,Warrumbungle Shire (A),1,Good,Good,0
18050,Waverley (A),18050,Waverley (A),1,Good,Good,0
18100,Weddin (A),18100,Weddin (A),1,Good,Good,0
18150,Wellington (A),12390,Dubbo Regional (A),1,Good,Good,0
18200,Wentworth (A),18200,Wentworth (A),1,Good,Good,0
18250,Willoughby (C),18250,Willoughby (C),1,Good,Good,0
18350,Wingecarribee (A),18350,Wingecarribee (A),1,Good,Good,0
18400,Wollondilly (A),18400,Wollondilly (A),1,Good,Good,0
18450,Wollongong (C),18450,Wollongong (C),1,Good,Good,0
18500,Woollahra (A),18500,Woollahra (A),1,Good,Good,0
18550,Wyong (A),11650,Central Coast (C) (NSW),1,Good,Good,0
18710,Yass Valley (A),18710,Yass Valley (A),1,Good,Good,0
18750,Young (A),13910,Hilltops (A),1,Good,Good,0
19399,Unincorporated NSW,19399,Unincorporated NSW,1,Good,Good,0
20110,Alpine (S),20110,Alpine (S),1,Good,Good,0
20260,Ararat (RC),20260,Ararat (RC),1,Good,Good,0
20570,Ballarat (C),20570,Ballarat (C),1,Good,Good,0
20660,Banyule (C),20660,Banyule (C),1,Good,Good,0
20740,Bass Coast (S),20740,Bass Coast (S),1,Good,Good,0
20830,Baw Baw (S),20830,Baw Baw (S),1,Good,Good,0
20910,Bayside (C),20910,Bayside (C),1,Good,Good,0
21010,Benalla (RC),21010,Benalla (RC),1,Good,Good,0
21110,Boroondara (C),21110,Boroondara (C),1,Good,Good,0
21180,Brimbank (C),21180,Brimbank (C),1,Good,Good,0
21270,Buloke (S),21270,Buloke (S),1,Good,Good,0
21370,Campaspe (S),21370,Campaspe (S),1,Good,Good,0
21450,Cardinia (S),21450,Cardinia (S),1,Good,Good,0
21610,Casey (C),21610,Casey (C),0.9999941,Good,Good,0
21610,Casey (C),27450,Yarra Ranges (S),5.90E-06,Good,Good,1
21670,Central Goldfields (S),21670,Central Goldfields (S),1,Good,Good,0
21750,Colac-Otway (S),21750,Colac-Otway (S),1,Good,Good,0
21830,Corangamite (S),21830,Corangamite (S),1,Good,Good,0
21890,Darebin (C),21890,Darebin (C),1,Good,Good,0
22110,East Gippsland (S),22110,East Gippsland (S),1,Good,Good,0
22170,Frankston (C),22170,Frankston (C),1,Good,Good,0
22250,Gannawarra (S),22250,Gannawarra (S),1,Good,Good,0
22310,Glen Eira (C),22310,Glen Eira (C),1,Good,Good,0
22410,Glenelg (S),22410,Glenelg (S),1,Good,Good,0
22490,Golden Plains (S),22490,Golden Plains (S),1,Good,Good,0
22620,Greater Bendigo (C),22620,Greater Bendigo (C),1,Good,Good,0
22670,Greater Dandenong (C),22670,Greater Dandenong (C),1,Good,Good,0
22750,Greater Geelong (C),22750,Greater Geelong (C),1,Good,Good,0
22830,Greater Shepparton (C),22830,Greater Shepparton (C),1,Good,Good,0
22910,Hepburn (S),22910,Hepburn (S),1,Good,Good,0
22980,Hindmarsh (S),22980,Hindmarsh (S),1,Good,Good,0
23110,Hobsons Bay (C),23110,Hobsons Bay (C),1,Good,Good,0
23190,Horsham (RC),23190,Horsham (RC),1,Good,Good,0
23270,Hume (C),23270,Hume (C),1,Good,Good,0
23350,Indigo (S),23350,Indigo (S),1,Good,Good,0
23430,Kingston (C),23430,Kingston (C) (Vic.),1,Good,Good,0
23670,Knox (C),23670,Knox (C),1,Good,Good,0
23810,Latrobe (C),23810,Latrobe (C) (Vic.),1,Good,Good,0
23940,Loddon (S),23940,Loddon (S),1,Good,Good,0
24130,Macedon Ranges (S),24130,Macedon Ranges (S),1,Good,Good,0
24210,Manningham (C),24210,Manningham (C),1,Good,Good,0
24250,Mansfield (S),24250,Mansfield (S),1,Good,Good,0
24330,Maribyrnong (C),24330,Maribyrnong (C),1,Good,Good,0
24410,Maroondah (C),24410,Maroondah (C),1,Good,Good,0
24600,Melbourne (C),24600,Melbourne (C),1,Good,Good,0
24650,Melton (C),24650,Melton (C),1,Good,Good,0
24780,Mildura (RC),24780,Mildura (RC),1,Good,Good,0
24850,Mitchell (S),24850,Mitchell (S),0.9999438,Good,Good,0
24850,Mitchell (S),25620,Murrindindi (S),5.62E-05,Good,Good,1
24900,Moira (S),24900,Moira (S),1,Good,Good,0
24970,Monash (C),24970,Monash (C),1,Good,Good,0
25060,Moonee Valley (C),25060,Moonee Valley (C),1,Good,Good,0
25150,Moorabool (S),25150,Moorabool (S),1,Good,Good,0
25250,Moreland (C),25250,Moreland (C),1,Good,Good,0
25340,Mornington Peninsula (S),25340,Mornington Peninsula (S),1,Good,Good,0
25430,Mount Alexander (S),25430,Mount Alexander (S),1,Good,Good,0
25490,Moyne (S),25490,Moyne (S),1,Good,Good,0
25620,Murrindindi (S),25620,Murrindindi (S),1,Good,Good,0
25710,Nillumbik (S),25710,Nillumbik (S),1,Good,Good,0
25810,Northern Grampians (S),25810,Northern Grampians (S),1,Good,Good,0
25900,Port Phillip (C),25900,Port Phillip (C),1,Good,Good,0
25990,Pyrenees (S),25990,Pyrenees (S),1,Good,Good,0
26080,Queenscliffe (B),26080,Queenscliffe (B),0.9999997,Good,Good,0
26080,Queenscliffe (B),,,3.00E-07,NA,Good,4
26170,South Gippsland (S),26170,South Gippsland (S),1,Good,Good,0
26260,Southern Grampians (S),26260,Southern Grampians (S),1,Good,Good,0
