LGA_CODE_2016,LGA_NAME_2016,CED_CODE_2018,CED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury (C),114,Farrer,1,Good,Poor,0
10130,Armidale Regional (A),110,Cowper,0.0011564,Acceptable,Poor,1
10130,Armidale Regional (A),130,New England,0.9988436,Good,Poor,0
10250,Ballina (A),133,Page,0.2830586,Acceptable,Poor,0
10250,Ballina (A),138,Richmond,0.7169414,Good,Poor,0
10300,Balranald (A),114,Farrer,1,Good,Poor,0
10470,Bathurst Regional (A),107,Calare,1,Good,Poor,0
10550,Bega Valley (A),113,Eden-Monaro,1,Good,Poor,0
10600,Bellingen (A),110,Cowper,1,Acceptable,Poor,0
10650,Berrigan (A),114,Farrer,1,Good,Poor,0
10750,Blacktown (C),108,Chifley,0.5082181,Poor,Poor,0
10750,Blacktown (C),118,Greenway,0.4749003,Poor,Poor,0
10750,Blacktown (C),128,McMahon,0.0168816,Poor,Poor,0
10800,Bland (A),114,Farrer,0.0048633,Good,Poor,1
10800,Bland (A),139,Riverina,0.9951367,Good,Poor,0
10850,Blayney (A),107,Calare,1,Good,Poor,0
10900,Blue Mountains (C),107,Calare,0,Good,Poor,1
10900,Blue Mountains (C),120,Hume,0,Acceptable,Poor,1
10900,Blue Mountains (C),127,Macquarie,1,Good,Poor,0
10950,Bogan (A),134,Parkes,1,Good,Poor,0
11100,Botany Bay (C),122,Kingsford Smith,1,Good,Poor,0
11150,Bourke (A),134,Parkes,1,Good,Poor,0
11200,Brewarrina (A),134,Parkes,1,Good,Poor,0
11250,Broken Hill (C),134,Parkes,1,Good,Poor,0
11300,Burwood (A),137,Reid,0.7036735,Acceptable,Poor,0
11300,Burwood (A),144,Watson,0.2963265,Poor,Poor,0
11350,Byron (A),138,Richmond,1,Good,Poor,0
11400,Cabonne (A),107,Calare,0.9881957,Good,Poor,0
11400,Cabonne (A),134,Parkes,0.0067239,Good,Poor,1
11400,Cabonne (A),139,Riverina,0.0050803,Good,Poor,1
11450,Camden (A),120,Hume,0.5930213,Acceptable,Poor,0
11450,Camden (A),125,Macarthur,0.4069787,Poor,Poor,0
11500,Campbelltown (C) (NSW),111,Cunningham,0,Acceptable,Poor,1
11500,Campbelltown (C) (NSW),120,Hume,0,Acceptable,Poor,1
11500,Campbelltown (C) (NSW),125,Macarthur,0.8292131,Poor,Poor,0
11500,Campbelltown (C) (NSW),146,Werriwa,0.1707869,Poor,Poor,0
11520,Canada Bay (A),137,Reid,1,Acceptable,Poor,0
11570,Canterbury-Bankstown (A),101,Banks,0.1765388,Poor,Poor,0
11570,Canterbury-Bankstown (A),102,Barton,0.0911196,Poor,Poor,0
11570,Canterbury-Bankstown (A),105,Blaxland,0.3141229,Poor,Poor,0
11570,Canterbury-Bankstown (A),117,Grayndler,0.0097242,Acceptable,Poor,1
11570,Canterbury-Bankstown (A),144,Watson,0.4084945,Poor,Poor,0
11600,Carrathool (A),114,Farrer,1,Good,Poor,0
11650,Central Coast (C) (NSW),112,Dobell,0.4700842,Poor,Poor,0
11650,Central Coast (C) (NSW),140,Robertson,0.4368259,Poor,Poor,0
11650,Central Coast (C) (NSW),141,Shortland,0.0930899,Poor,Poor,0
11700,Central Darling (A),134,Parkes,1,Good,Poor,0
11720,Cessnock (C),121,Hunter,0.6653658,Poor,Poor,0
11720,Cessnock (C),136,Paterson,0.3346342,Acceptable,Poor,0
11730,Clarence Valley (A),110,Cowper,0,Acceptable,Poor,1
11730,Clarence Valley (A),133,Page,1,Acceptable,Poor,0
11750,Cobar (A),134,Parkes,1,Good,Poor,0
11800,Coffs Harbour (C),110,Cowper,0.7015482,Acceptable,Poor,0
11800,Coffs Harbour (C),133,Page,0.2984518,Acceptable,Poor,0
12000,Coolamon (A),139,Riverina,1,Good,Poor,0
12150,Coonamble (A),134,Parkes,1,Good,Poor,0
12350,Cowra (A),107,Calare,0.0009602,Good,Poor,1
12350,Cowra (A),139,Riverina,0.9990398,Good,Poor,0
12380,Cumberland (A),105,Blaxland,0.304997,Poor,Poor,0
12380,Cumberland (A),115,Fowler,0.0007819,Poor,Poor,1
12380,Cumberland (A),118,Greenway,0.0464443,Poor,Poor,0
12380,Cumberland (A),128,McMahon,0.3174386,Poor,Poor,0
12380,Cumberland (A),135,Parramatta,0.2615694,Poor,Poor,0
12380,Cumberland (A),137,Reid,0.0463749,Acceptable,Poor,0
12380,Cumberland (A),144,Watson,0.0223939,Poor,Poor,0
12700,Dungog (A),124,Lyne,1,Acceptable,Poor,0
12730,Edward River (A),114,Farrer,1,Good,Poor,0
12750,Eurobodalla (A),113,Eden-Monaro,0.2101434,Good,Poor,0
12750,Eurobodalla (A),116,Gilmore,0.7898566,Good,Poor,0
12850,Fairfield (C),115,Fowler,0.6115167,Poor,Poor,0
12850,Fairfield (C),128,McMahon,0.3179579,Poor,Poor,0
12850,Fairfield (C),146,Werriwa,0.0705254,Poor,Poor,0
12870,Federation (A),114,Farrer,1,Good,Poor,0
12900,Forbes (A),134,Parkes,0,Good,Poor,1
12900,Forbes (A),139,Riverina,1,Good,Poor,0
12930,Georges River (A),101,Banks,0.6436379,Poor,Poor,0
12930,Georges River (A),102,Barton,0.2543762,Poor,Poor,0
12930,Georges River (A),109,Cook,0.101986,Poor,Poor,0
12950,Gilgandra (A),134,Parkes,1,Good,Poor,0
13010,Glen Innes Severn (A),130,New England,1,Good,Poor,0
13310,Goulburn Mulwaree (A),113,Eden-Monaro,0,Good,Poor,1
13310,Goulburn Mulwaree (A),120,Hume,1,Acceptable,Poor,0
13340,Greater Hume Shire (A),114,Farrer,1,Good,Poor,0
13340,Greater Hume Shire (A),139,Riverina,0,Good,Poor,1
13450,Griffith (C),114,Farrer,1,Good,Poor,0
13510,Gundagai (A),139,Riverina,1,Good,Poor,0
13550,Gunnedah (A),134,Parkes,1,Good,Poor,0
13660,Gwydir (A),130,New England,0.4231209,Good,Poor,0
13660,Gwydir (A),134,Parkes,0.5768791,Good,Poor,0
13800,Hawkesbury (C),104,Berowra,0.0008051,Poor,Poor,1
13800,Hawkesbury (C),108,Chifley,0,Poor,Poor,1
13800,Hawkesbury (C),127,Macquarie,0.9991949,Good,Poor,0
13850,Hay (A),114,Farrer,1,Good,Poor,0
13910,Hilltops (A),120,Hume,0.1313044,Acceptable,Poor,0
13910,Hilltops (A),139,Riverina,0.8686956,Good,Poor,0
14000,Hornsby (A),103,Bennelong,0.0317008,Poor,Poor,0
14000,Hornsby (A),104,Berowra,0.7840452,Poor,Poor,0
14000,Hornsby (A),106,Bradfield,0.1842541,Acceptable,Poor,0
14100,Hunters Hill (A),132,North Sydney,1,Acceptable,Poor,0
14170,Inner West (A),102,Barton,0.0804051,Poor,Poor,0
14170,Inner West (A),117,Grayndler,0.8028579,Acceptable,Poor,0
14170,Inner West (A),122,Kingsford Smith,0,Good,Poor,1
14170,Inner West (A),137,Reid,0.0267925,Acceptable,Poor,0
14170,Inner West (A),142,Sydney,0.0286509,Good,Poor,0
14170,Inner West (A),144,Watson,0.0612935,Poor,Poor,0
14200,Inverell (A),130,New England,1,Good,Poor,0
14300,Junee (A),139,Riverina,1,Good,Poor,0
14350,Kempsey (A),110,Cowper,1,Acceptable,Poor,0
14400,Kiama (A),116,Gilmore,0.9959459,Good,Poor,0
14400,Kiama (A),147,Whitlam,0.0040541,Poor,Poor,1
14500,Ku-ring-gai (A),106,Bradfield,1,Acceptable,Poor,0
14550,Kyogle (A),133,Page,1,Acceptable,Poor,0
14600,Lachlan (A),134,Parkes,0.9908301,Good,Poor,0
14600,Lachlan (A),139,Riverina,0.0091699,Good,Poor,1
14650,Lake Macquarie (C),121,Hunter,0.4048045,Poor,Poor,0
14650,Lake Macquarie (C),131,Newcastle,0.0184848,Good,Poor,0
14650,Lake Macquarie (C),141,Shortland,0.5767107,Poor,Poor,0
14700,Lane Cove (A),132,North Sydney,1,Acceptable,Poor,0
14750,Leeton (A),114,Farrer,1,Good,Poor,0
14850,Lismore (C),133,Page,0.9992597,Acceptable,Poor,0
14850,Lismore (C),138,Richmond,0.0007403,Good,Poor,1
14870,Lithgow (C),107,Calare,1,Good,Poor,0
14900,Liverpool (C),115,Fowler,0.2079652,Poor,Poor,0
14900,Liverpool (C),119,Hughes,0.1461582,Poor,Poor,0
14900,Liverpool (C),120,Hume,0.0091793,Acceptable,Poor,1
14900,Liverpool (C),146,Werriwa,0.6366974,Poor,Poor,0
14920,Liverpool Plains (A),130,New England,1,Good,Poor,0
14950,Lockhart (A),114,Farrer,0.0032,Good,Poor,1
14950,Lockhart (A),139,Riverina,0.9968,Good,Poor,0
15050,Maitland (C),121,Hunter,0.0005305,Poor,Poor,1
15050,Maitland (C),124,Lyne,0.1051692,Acceptable,Poor,0
15050,Maitland (C),136,Paterson,0.8943003,Acceptable,Poor,0
15240,Mid-Coast (A),124,Lyne,1,Acceptable,Poor,0
15270,Mid-Western Regional (A),107,Calare,1,Good,Poor,0
15300,Moree Plains (A),134,Parkes,1,Good,Poor,0
15350,Mosman (A),143,Warringah,1,Poor,Poor,0
15520,Murray River (A),114,Farrer,1,Good,Poor,0
15560,Murrumbidgee (A),114,Farrer,1,Good,Poor,0
15650,Muswellbrook (A),121,Hunter,1,Poor,Poor,0
15700,Nambucca (A),110,Cowper,1,Acceptable,Poor,0
15750,Narrabri (A),134,Parkes,1,Good,Poor,0
15800,Narrandera (A),114,Farrer,1,Good,Poor,0
