LOCALITY_NAME_NOV2019,LOCALITY_PID_NOV2019,CED_CODE_2018,CED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
AARONS PASS,NSW1,107,Calare,1,Good,Good,0
ABBA RIVER,WA2804,507,Forrest,1,Good,Good,0
ABBEY,WA3295,507,Forrest,1,Good,Good,0
ABBEYARD,VIC1,222,Indi,1,Good,Good,0
ABBEYWOOD,QLD1,311,Flynn,1,Good,Good,0
ABBOTSBURY,NSW2,115,Fowler,1,Good,Good,0
ABBOTSBURY,NSW2,128,McMahon,0,Acceptable,Good,1
ABBOTSFORD,NSW3,137,Reid,1,Good,Good,0
ABBOTSFORD,QLD2,311,Flynn,1,Good,Good,0
ABBOTSFORD,VIC2,232,Melbourne,1,Good,Good,0
ABBOTSHAM,TAS1,602,Braddon,1,Good,Good,0
ABELS BAY,TAS2,604,Franklin,1,Good,Good,0
ABERCORN,QLD3,311,Flynn,1,Good,Good,0
ABERCROMBIE,NSW4,107,Calare,1,Good,Good,0
ABERCROMBIE RIVER,NSW5,107,Calare,1,Good,Good,0
ABERDARE,NSW6,121,Hunter,1,Good,Good,0
ABERDEEN,NSW8,121,Hunter,0.0100095,Good,Good,0
ABERDEEN,NSW8,130,New England,0.9899905,Good,Good,0
ABERDEEN,TAS3,602,Braddon,0.9784411,Good,Good,0
ABERDEEN,TAS3,605,Lyons,0.0215589,Good,Good,0
ABERFELDIE,VIC3,230,Maribyrnong,1,Good,Good,0
ABERFELDY,VIC4,234,Monash,1,Good,Good,0
ABERFOYLE,NSW9,130,New England,1,Good,Good,0
ABERFOYLE PARK,SA1,406,Kingston,1,Good,Good,0
ABERGLASSLYN,NSW10,136,Paterson,1,Good,Good,0
ABERGOWRIE,QLD4,317,Kennedy,1,Good,Good,0
ABERMAIN,NSW11,136,Paterson,1,Good,Good,0
ABERNETHY,NSW12,121,Hunter,1,Good,Good,0
ABINGDON DOWNS,QLD5,317,Kennedy,1,Good,Good,0
ABINGTON,NSW13,130,New England,1,Good,Good,0
ABINGTON,QLD6,316,Hinkler,1,Good,Good,0
ABMINGA STATION,SA210006238,404,Grey,1,Good,Good,0
ACACIA CREEK,NSW5028,130,New England,1,Good,Good,0
ACACIA GARDENS,NSW14,118,Greenway,1,Acceptable,Good,0
ACACIA HILLS,NT1,701,Lingiari,1,Good,Good,0
