SA1_MAINCODE_2016,SA1_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102100701,10102100701,1,Good,Good,0
10102100702,10102100702,1,Good,Good,0
10102100703,10102100703,1,Good,Good,0
10102100704,10102100704,1,Good,Good,0
10102100705,10102100705,1,Good,Good,0
10102100706,10102100706,1,Good,Good,0
10102100707,10102100707,1,Good,Good,0
10102100708,10102100708,1,Good,Good,0
10102100709,10102100709,1,Good,Good,0
10102100710,10102100710,1,Good,Good,0
10102100801,10102100801,1,Good,Good,0
10102100802,10102100802,1,Good,Good,0
10102100803,10102100803,1,Good,Good,0
10102100804,10102100804,1,Good,Good,0
10102100805,10102100805,1,Good,Good,0
10102100806,10102100806,1,Good,Good,0
10102100807,10102100807,1,Good,Good,0
10102100808,10102100808,1,Good,Good,0
10102100809,10102100809,1,Good,Good,0
10102100810,10102100810,1,Good,Good,0
10102100811,10102100811,1,Good,Good,0
10102100812,10102100812,1,Good,Good,0
10102100813,10102100813,1,Good,Good,0
10102100814,10102100814,1,Good,Good,0
10102100815,10102100815,1,Good,Good,0
10102100816,10102100816,1,Good,Good,0
10102100817,10102100817,1,Good,Good,0
10102100818,10102100818,1,Good,Good,0
10102100819,10102100819,1,Good,Good,0
10102100820,10102100820,1,Good,Good,0
10102100821,10102100821,1,Good,Good,0
10102100822,10102100822,1,Good,Good,0
10102100823,10102100823,1,Good,Good,0
10102100901,10102100901,1,Good,Good,0
10102100902,10102100902,1,Good,Good,0
10102100904,10102100904,1,Good,Good,0
10102100905,10102100905,1,Good,Good,0
10102100907,10102100907,1,Good,Good,0
10102100908,10102100908,1,Good,Good,0
10102100909,10102100909,1,Good,Good,0
10102100910,10102100910,1,Good,Good,0
10102100911,10102100911,1,Good,Good,0
10102100912,10102100912,1,Good,Good,0
10102100913,10102100913,1,Good,Good,0
10102100914,10102100914,1,Good,Good,0
10102100915,10102100915,1,Good,Good,0
10102100916,10102100916,1,Good,Good,0
10102100917,10102100917,1,Good,Good,0
10102100918,10102100918,1,Good,Good,0
10102100919,10102100919,1,Good,Good,0
10102100920,10102100920,1,Good,Good,0
10102100921,10102100921,1,Good,Good,0
10102100923,10102100923,1,Good,Good,0
10102100924,10102100924,1,Good,Good,0
10102100925,10102100925,1,Good,Good,0
10102100926,10102100926,1,Good,Good,0
10102100927,10102100927,1,Good,Good,0
10102100928,10102100928,1,Good,Good,0
10102100929,10102100929,1,Good,Good,0
10102101001,10102101001,1,Good,Good,0
10102101002,10102101002,1,Good,Good,0
10102101003,10102101003,1,Good,Good,0
10102101004,10102101004,1,Good,Good,0
10102101006,10102101006,1,Good,Good,0
10102101007,10102101007,1,Good,Good,0
10102101008,10102101008,1,Good,Good,0
10102101009,10102101009,1,Good,Good,0
