SA2_MAINCODE_2016,SA2_NAME_2016,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,101021007,Braidwood,1,Good,Good,0
101021008,Karabar,101021008,Karabar,1,Good,Good,0
101021009,Queanbeyan,101021009,Queanbeyan,1,Good,Good,0
101021010,Queanbeyan - East,101021010,Queanbeyan - East,1,Good,Good,0
101021011,Queanbeyan Region,101021610,Googong,0.0967097,Poor,Good,0
101021011,Queanbeyan Region,101021611,Queanbeyan Surrounds,0.9032903,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,101021012,Queanbeyan West - Jerrabomberra,1,Good,Good,0
101031013,Bombala,101031013,Bombala,1,Good,Good,0
101031014,Cooma,101031014,Cooma,1,Good,Good,0
101031015,Cooma Region,101031015,Cooma Surrounds,1,Good,Good,0
101031016,Jindabyne - Berridale,101031016,Jindabyne - Berridale,1,Good,Good,0
101041017,Batemans Bay,101041017,Batemans Bay,1,Good,Good,0
101041018,Batemans Bay - South,101041018,Batemans Bay - South,1,Good,Good,0
101041019,Bega - Tathra,101041019,Bega - Tathra,1,Good,Good,0
101041020,Bega-Eden Hinterland,101041020,Bega-Eden Hinterland,1,Good,Good,0
101041021,Broulee - Tomakin,101041021,Broulee - Tomakin,1,Good,Good,0
101041022,Deua - Wadbilliga,101041022,Deua - Wadbilliga,1,Good,Good,0
101041023,Eden,101041023,Eden,1,Good,Good,0
101041024,Eurobodalla Hinterland,101041024,Eurobodalla Hinterland,1,Good,Good,0
101041025,Merimbula - Tura Beach,101041025,Merimbula - Tura Beach,1,Good,Good,0
101041026,Moruya - Tuross Head,101041026,Moruya - Tuross Head,1,Good,Good,0
101041027,Narooma - Bermagui,101041027,Narooma - Bermagui,1,Good,Good,0
101051539,Goulburn,101051539,Goulburn,1,Good,Good,0
101051540,Goulburn Region,101051540,Goulburn Surrounds,1,Good,Good,0
101061541,Yass,101061541,Yass,1,Good,Good,0
101061542,Yass Region,101061542,Yass Surrounds,1,Good,Good,0
101061543,Young,101061543,Young,1,Good,Good,0
101061544,Young Region,101061544,Young Surrounds,1,Good,Good,0
102011028,Avoca Beach - Copacabana,102011028,Avoca Beach - Copacabana,1,Good,Good,0
102011029,Box Head - MacMasters Beach,102011029,Box Head - MacMasters Beach,1,Good,Good,0
102011030,Calga - Kulnura,102011030,Calga - Kulnura,1,Good,Good,0
102011031,Erina - Green Point,102011031,Erina - Green Point,1,Good,Good,0
102011032,Gosford - Springfield,102011032,Gosford - Springfield,1,Good,Good,0
102011033,Kariong,102011033,Kariong,1,Good,Good,0
102011034,Kincumber - Picketts Valley,102011034,Kincumber - Picketts Valley,0.9990335,Good,Good,0
102011034,Kincumber - Picketts Valley,102011039,Terrigal - North Avoca,0.0009665,Good,Good,1
102011035,Narara,102011035,Narara,1,Good,Good,0
102011036,Niagara Park - Lisarow,102011036,Niagara Park - Lisarow,1,Good,Good,0
102011037,Point Clare - Koolewong,102011037,Point Clare - Koolewong,1,Good,Good,0
102011038,Saratoga - Davistown,102011038,Saratoga - Davistown,1,Good,Good,0
102011039,Terrigal - North Avoca,102011039,Terrigal - North Avoca,1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,102011040,Umina - Booker Bay - Patonga,1,Good,Good,0
102011041,Wamberal - Forresters Beach,102011041,Wamberal - Forresters Beach,1,Good,Good,0
102011042,Woy Woy - Blackwall,102011042,Woy Woy - Blackwall,1,Good,Good,0
102011043,Wyoming,102011043,Wyoming,1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,102021044,Bateau Bay - Killarney Vale,1,Good,Good,0
102021045,Blue Haven - San Remo,102021045,Blue Haven - San Remo,1,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,102021046,Budgewoi - Buff Point - Halekulani,1,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,102021047,Chittaway Bay - Tumbi Umbi,1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,102021048,Gorokan - Kanwal - Charmhaven,1,Good,Good,0
102021049,Jilliby - Yarramalong,102021049,Jilliby - Yarramalong,1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,102021050,Lake Munmorah - Mannering Park,1,Good,Good,0
102021051,Ourimbah - Fountaindale,102021051,Ourimbah - Fountaindale,1,Good,Good,0
102021052,Summerland Point - Gwandalan,102021052,Summerland Point - Gwandalan,1,Good,Good,0
102021053,The Entrance,102021053,The Entrance,1,Good,Good,0
102021054,Toukley - Norah Head,102021054,Toukley - Norah Head,1,Good,Good,0
102021055,Tuggerah - Kangy Angy,102021055,Tuggerah - Kangy Angy,1,Good,Good,0
102021056,Warnervale - Wadalba,102021056,Warnervale - Wadalba,1,Good,Good,0
102021057,Wyong,102021057,Wyong,1,Good,Good,0
103011058,Bathurst,103011612,Bathurst - South,0.4526202,Poor,Good,0
103011058,Bathurst,103011613,Bathurst - West,0.5473798,Poor,Good,0
103011059,Bathurst - East,103011059,Bathurst - East,1,Good,Good,0
103011060,Bathurst Region,103011060,Bathurst Surrounds,1,Good,Good,0
103011061,Oberon,103011061,Oberon,1,Good,Good,0
103021062,Condobolin,103021062,Condobolin,1,Good,Good,0
103021063,Cowra,103021063,Cowra,1,Good,Good,0
103021064,Cowra Region,103021064,Cowra Surrounds,1,Good,Good,0
103021065,Forbes,103021065,Forbes,1,Good,Good,0
103021066,Grenfell,103021066,Grenfell,1,Good,Good,0
103021067,Parkes (NSW),103021067,Parkes (NSW),1,Good,Good,0
103021068,Parkes Region,103021068,Parkes Surrounds,1,Good,Good,0
103021069,West Wyalong,103021069,West Wyalong,1,Good,Good,0
103031070,Lithgow,103031070,Lithgow,1,Good,Good,0
103031071,Lithgow Region,103031071,Lithgow Surrounds,1,Good,Good,0
103031072,Mudgee,103031072,Mudgee,1,Good,Good,0
103031073,Mudgee Region - East,103031073,Mudgee Surrounds - East,1,Good,Good,0
103031074,Mudgee Region - West,103031074,Mudgee Surrounds - West,1,Good,Good,0
103031075,Wollangambe - Wollemi,103031075,Wollangambe - Wollemi,1,Good,Good,0
103041076,Blayney,103041076,Blayney,1,Good,Good,0
103041077,Orange,103041077,Orange,1,Good,Good,0
103041078,Orange - North,103041078,Orange - North,1,Good,Good,0
103041079,Orange Region,103041079,Orange Surrounds,1,Good,Good,0
104011080,Grafton,104011080,Grafton,1,Good,Good,0
104011081,Grafton Region,104011081,Grafton Surrounds,1,Good,Good,0
104011082,Maclean - Yamba - Iluka,104011082,Maclean - Yamba - Iluka,1,Good,Good,0
104021083,Bellingen,104021083,Bellingen,1,Good,Good,0
104021084,Coffs Harbour - North,104021084,Coffs Harbour - North,1,Good,Good,0
104021085,Coffs Harbour - South,104021085,Coffs Harbour - South,1,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,104021086,Coramba - Nana Glen - Bucca,1,Good,Good,0
104021087,Dorrigo,104021087,Dorrigo,1,Good,Good,0
104021088,Korora - Emerald Beach,104021088,Korora - Emerald Beach,1,Good,Good,0
104021089,Sawtell - Boambee,104021089,Sawtell - Boambee,1,Good,Good,0
104021090,Urunga,104021090,Urunga,1,Good,Good,0
104021091,Woolgoolga - Arrawarra,104021091,Woolgoolga - Arrawarra,1,Good,Good,0
105011092,Bourke - Brewarrina,105011092,Bourke - Brewarrina,1,Good,Good,0
105011093,Cobar,105011093,Cobar,1,Good,Good,0
105011094,Coonamble,105011094,Coonamble,1,Good,Good,0
105011095,Nyngan - Warren,105011095,Nyngan - Warren,1,Good,Good,0
105011096,Walgett - Lightning Ridge,105011096,Walgett - Lightning Ridge,1,Good,Good,0
105021097,Broken Hill,105021097,Broken Hill,1,Good,Good,0
105021098,Far West,105021098,Far West,1,Good,Good,0
105031099,Coonabarabran,105031099,Coonabarabran,1,Good,Good,0
105031100,Dubbo - East,105031100,Dubbo - East,1,Good,Good,0
105031101,Dubbo - South,105031101,Dubbo - South,1,Good,Good,0
105031102,Dubbo - West,105031102,Dubbo - West,1,Good,Good,0
105031103,Dubbo Region,105031103,Dubbo Surrounds,1,Good,Good,0
105031104,Gilgandra,105031104,Gilgandra,1,Good,Good,0
105031105,Narromine,105031105,Narromine,1,Good,Good,0
105031106,Wellington,105031106,Wellington,1,Good,Good,0
