SA2_MAINCODE_2016,SA2_NAME_2016,SED_CODE_2018,SED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,10031,Goulburn,0.0682751,Good,Acceptable,0
101021007,Braidwood,10053,Monaro,0.9317249,Good,Acceptable,0
101021008,Karabar,10053,Monaro,1,Good,Acceptable,0
101021009,Queanbeyan,10053,Monaro,1,Good,Acceptable,0
101021010,Queanbeyan - East,10053,Monaro,1,Good,Acceptable,0
101021011,Queanbeyan Region,10031,Goulburn,0.0255811,Good,Acceptable,0
101021011,Queanbeyan Region,10053,Monaro,0.9744189,Good,Acceptable,0
101021012,Queanbeyan West - Jerrabomberra,10053,Monaro,1,Good,Acceptable,0
101031013,Bombala,10053,Monaro,1,Good,Acceptable,0
101031014,Cooma,10053,Monaro,1,Good,Acceptable,0
101031015,Cooma Region,10053,Monaro,1,Good,Acceptable,0
101031016,Jindabyne - Berridale,10053,Monaro,1,Good,Acceptable,0
101041017,Batemans Bay,10009,Bega,1,Good,Acceptable,0
101041018,Batemans Bay - South,10009,Bega,1,Good,Acceptable,0
101041019,Bega - Tathra,10009,Bega,1,Good,Acceptable,0
101041020,Bega-Eden Hinterland,10009,Bega,1,Good,Acceptable,0
101041021,Broulee - Tomakin,10009,Bega,1,Good,Acceptable,0
101041022,Deua - Wadbilliga,10009,Bega,1,Good,Acceptable,0
101041023,Eden,10009,Bega,1,Good,Acceptable,0
101041024,Eurobodalla Hinterland,10009,Bega,0.8219926,Good,Acceptable,0
101041024,Eurobodalla Hinterland,10076,South Coast,0.1780074,Good,Acceptable,0
101041025,Merimbula - Tura Beach,10009,Bega,1,Good,Acceptable,0
101041026,Moruya - Tuross Head,10009,Bega,1,Good,Acceptable,0
101041027,Narooma - Bermagui,10009,Bega,1,Good,Acceptable,0
101051539,Goulburn,10031,Goulburn,1,Good,Acceptable,0
101051540,Goulburn Region,10031,Goulburn,1,Good,Acceptable,0
101061541,Yass,10031,Goulburn,1,Good,Acceptable,0
101061542,Yass Region,10022,Cootamundra,0.0269776,Good,Acceptable,0
101061542,Yass Region,10031,Goulburn,0.9730224,Good,Acceptable,0
101061543,Young,10022,Cootamundra,1,Good,Acceptable,0
101061544,Young Region,10022,Cootamundra,0.7038954,Good,Acceptable,0
101061544,Young Region,10031,Goulburn,0.2961046,Good,Acceptable,0
102011028,Avoca Beach - Copacabana,10082,Terrigal,1,Good,Acceptable,0
102011029,Box Head - MacMasters Beach,10082,Terrigal,1,Good,Acceptable,0
102011030,Calga - Kulnura,10030,Gosford,0.9162393,Good,Acceptable,0
102011030,Calga - Kulnura,10093,Wyong,0.0837607,Acceptable,Acceptable,0
102011031,Erina - Green Point,10082,Terrigal,1,Good,Acceptable,0
102011032,Gosford - Springfield,10030,Gosford,0.7818974,Good,Acceptable,0
102011032,Gosford - Springfield,10082,Terrigal,0.2181026,Good,Acceptable,0
102011033,Kariong,10030,Gosford,1,Good,Acceptable,0
102011034,Kincumber - Picketts Valley,10082,Terrigal,1,Good,Acceptable,0
102011035,Narara,10030,Gosford,0.7120253,Good,Acceptable,0
102011035,Narara,10083,The Entrance,0.2879747,Good,Acceptable,0
102011036,Niagara Park - Lisarow,10083,The Entrance,1,Good,Acceptable,0
102011037,Point Clare - Koolewong,10030,Gosford,1,Good,Acceptable,0
102011038,Saratoga - Davistown,10082,Terrigal,1,Good,Acceptable,0
102011039,Terrigal - North Avoca,10082,Terrigal,1,Good,Acceptable,0
102011040,Umina - Booker Bay - Patonga,10030,Gosford,1,Good,Acceptable,0
102011041,Wamberal - Forresters Beach,10082,Terrigal,0.9678473,Good,Acceptable,0
102011041,Wamberal - Forresters Beach,10083,The Entrance,0.0321527,Good,Acceptable,0
102011042,Woy Woy - Blackwall,10030,Gosford,1,Good,Acceptable,0
102011043,Wyoming,10083,The Entrance,1,Good,Acceptable,0
102021044,Bateau Bay - Killarney Vale,10083,The Entrance,1,Good,Acceptable,0
102021045,Blue Haven - San Remo,10079,Swansea,0.4219758,Good,Acceptable,0
102021045,Blue Haven - San Remo,10093,Wyong,0.5780242,Acceptable,Acceptable,0
102021046,Budgewoi - Buff Point - Halekulani,10079,Swansea,1,Good,Acceptable,0
102021047,Chittaway Bay - Tumbi Umbi,10083,The Entrance,0.5962341,Good,Acceptable,0
102021047,Chittaway Bay - Tumbi Umbi,10093,Wyong,0.4037659,Acceptable,Acceptable,0
102021048,Gorokan - Kanwal - Charmhaven,10093,Wyong,1,Acceptable,Acceptable,0
102021049,Jilliby - Yarramalong,10093,Wyong,1,Acceptable,Acceptable,0
102021050,Lake Munmorah - Mannering Park,10079,Swansea,1,Good,Acceptable,0
102021051,Ourimbah - Fountaindale,10083,The Entrance,0.8994861,Good,Acceptable,0
102021051,Ourimbah - Fountaindale,10093,Wyong,0.1005139,Acceptable,Acceptable,0
