SA3_CODE_2016,SA3_NAME_2016,CED_CODE_2018,CED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102,Queanbeyan,113,Eden-Monaro,0.9878222,Acceptable,Acceptable,0
10102,Queanbeyan,120,Hume,0.0121778,Acceptable,Acceptable,0
10103,Snowy Mountains,113,Eden-Monaro,1,Acceptable,Acceptable,0
10104,South Coast,113,Eden-Monaro,0.5812475,Acceptable,Acceptable,0
10104,South Coast,116,Gilmore,0.4187525,Acceptable,Acceptable,0
10105,Goulburn - Mulwaree,120,Hume,1,Acceptable,Acceptable,0
10106,Young - Yass,113,Eden-Monaro,0.44667,Acceptable,Acceptable,0
10106,Young - Yass,120,Hume,0.1062705,Acceptable,Acceptable,0
10106,Young - Yass,139,Riverina,0.4470595,Acceptable,Acceptable,0
10201,Gosford,112,Dobell,0.1534518,Poor,Acceptable,0
10201,Gosford,140,Robertson,0.8465482,Acceptable,Acceptable,0
10202,Wyong,112,Dobell,0.8076622,Poor,Acceptable,0
10202,Wyong,141,Shortland,0.1923378,Acceptable,Acceptable,0
10301,Bathurst,107,Calare,1,Good,Acceptable,0
10302,Lachlan Valley,107,Calare,0.0515529,Good,Acceptable,0
10302,Lachlan Valley,134,Parkes,0.1112134,Acceptable,Acceptable,0
10302,Lachlan Valley,139,Riverina,0.8372337,Acceptable,Acceptable,0
10303,Lithgow - Mudgee,107,Calare,0.9693696,Good,Acceptable,0
10303,Lithgow - Mudgee,134,Parkes,0.0306304,Acceptable,Acceptable,0
10304,Orange,107,Calare,1,Good,Acceptable,0
10401,Clarence Valley,110,Cowper,0,Acceptable,Acceptable,1
10401,Clarence Valley,133,Page,1,Acceptable,Acceptable,0
10402,Coffs Harbour,110,Cowper,0.742164,Acceptable,Acceptable,0
10402,Coffs Harbour,133,Page,0.257836,Acceptable,Acceptable,0
10501,Bourke - Cobar - Coonamble,134,Parkes,1,Acceptable,Acceptable,0
10502,Broken Hill and Far West,134,Parkes,1,Acceptable,Acceptable,0
10503,Dubbo,107,Calare,0.1307411,Good,Acceptable,0
