SSC_CODE_2016,SSC_NAME_2016,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10001,Aarons Pass,15270,Mid-Western Regional (A),1,Good,Good,0
10002,Abbotsbury,12850,Fairfield (C),1,Good,Good,0
10003,Abbotsford (NSW),11520,Canada Bay (A),1,Good,Good,0
10004,Abercrombie,10470,Bathurst Regional (A),1,Good,Good,0
10005,Abercrombie River,10470,Bathurst Regional (A),1,Good,Good,0
10006,Aberdare,11720,Cessnock (C),1,Good,Good,0
10007,Aberdeen (NSW),15650,Muswellbrook (A),0.0100095,Good,Good,0
10007,Aberdeen (NSW),17620,Upper Hunter Shire (A),0.9899905,Good,Good,0
10008,Aberfoyle,10130,Armidale Regional (A),1,Good,Good,0
10009,Aberglasslyn,15050,Maitland (C),1,Good,Good,0
10010,Abermain,11720,Cessnock (C),1,Good,Good,0
10011,Abernethy,11720,Cessnock (C),1,Good,Good,0
10012,Abington (NSW),17650,Uralla (A),1,Good,Good,0
10013,Acacia Creek,17400,Tenterfield (A),1,Good,Good,0
10014,Acacia Gardens,10750,Blacktown (C),1,Good,Good,0
10015,Adaminaby,17040,Snowy Monaro Regional (A),1,Good,Good,0
10016,Adamstown,15900,Newcastle (C),1,Good,Good,0
10017,Adamstown Heights,14650,Lake Macquarie (C),0.1668872,Good,Good,0
10017,Adamstown Heights,15900,Newcastle (C),0.8331128,Good,Good,0
10018,Adelong,17080,Snowy Valleys (A),1,Good,Good,0
10019,Adjungbilly,12160,Cootamundra-Gundagai Regional (A),1,Good,Good,0
10020,Afterlee,14550,Kyogle (A),1,Good,Good,0
10021,Agnes Banks,13800,Hawkesbury (C),0.4538545,Good,Good,0
10021,Agnes Banks,16350,Penrith (C),0.5461455,Good,Good,0
10022,Airds,11500,Campbelltown (C) (NSW),1,Good,Good,0
10023,Akolele,12750,Eurobodalla (A),1,Good,Good,0
10024,Albert,14600,Lachlan (A),1,Good,Good,0
10025,Albion Park,16900,Shellharbour (C),1,Good,Good,0
10026,Albion Park Rail,16900,Shellharbour (C),1,Good,Good,0
10027,Albury,10050,Albury (C),1,Good,Good,0
10028,Aldavilla,14350,Kempsey (A),1,Good,Good,0
10029,Alectown,16200,Parkes (A),1,Good,Good,0
10030,Alexandria,17200,Sydney (C),1,Good,Good,0
10031,Alfords Point,17150,Sutherland Shire (A),1,Good,Good,0
10032,Alfredtown,17750,Wagga Wagga (C),1,Good,Good,0
10033,Alice,11730,Clarence Valley (A),1,Good,Good,0
10034,Alison (Central Coast - NSW),11650,Central Coast (C) (NSW),1,Good,Good,0
10035,Alison (Dungog - NSW),12700,Dungog (A),1,Good,Good,0
10036,Allambie Heights,15990,Northern Beaches (A),1,Good,Good,0
10037,Allandale (NSW),11720,Cessnock (C),0.5194805,Good,Good,0
10037,Allandale (NSW),15050,Maitland (C),0.4805195,Good,Good,0
10038,Allawah,12930,Georges River (A),1,Acceptable,Good,0
10039,Alleena,10800,Bland (A),1,Good,Good,0
10040,Allgomera,15700,Nambucca (A),1,Good,Good,0
10041,Allworth,15240,Mid-Coast (A),1,Good,Good,0
10042,Allynbrook,12700,Dungog (A),1,Good,Good,0
10043,Alma Park,13340,Greater Hume Shire (A),0.8181818,Good,Good,0
10043,Alma Park,14950,Lockhart (A),0.1818182,Good,Good,0
10044,Alpine,18350,Wingecarribee (A),1,Good,Good,0
10045,Alstonvale,10250,Ballina (A),1,Good,Good,0
10046,Alstonville,10250,Ballina (A),1,Good,Good,0
10047,Alumy Creek,11730,Clarence Valley (A),1,Good,Good,0
10048,Amaroo (NSW),11400,Cabonne (A),1,Good,Good,0
10049,Ambarvale,11500,Campbelltown (C) (NSW),1,Good,Good,0
10050,Amosfield,17400,Tenterfield (A),1,Good,Good,0
10051,Anabranch North,18200,Wentworth (A),1,Good,Good,0
10052,Anabranch South,18200,Wentworth (A),1,Good,Good,0
10053,Anambah,15050,Maitland (C),1,Good,Good,0
10054,Ando,17040,Snowy Monaro Regional (A),1,Good,Good,0
10055,Anembo,17040,Snowy Monaro Regional (A),1,Good,Good,0
10056,Angledale,10550,Bega Valley (A),1,Good,Good,0
10057,Angledool,11200,Brewarrina (A),0.677966,Good,Good,0
10057,Angledool,17900,Walgett (A),0.322034,Good,Good,0
10058,Anglers Reach,17040,Snowy Monaro Regional (A),1,Good,Good,0
10059,Angourie,11730,Clarence Valley (A),1,Good,Good,0
