sa3_name_2016,year,median_income
Queanbeyan,2010-11,51858
Snowy Mountains,2010-11,35884
South Coast,2010-11,30908
Goulburn - Mulwaree,2010-11,38269
Young - Yass,2010-11,39489
Gosford,2010-11,38189
Wyong,2010-11,37082
Bathurst,2010-11,40497
Lachlan Valley,2010-11,34752
Lithgow - Mudgee,2010-11,37354
Orange,2010-11,41241
Clarence Valley,2010-11,29412
Coffs Harbour,2010-11,31848
Bourke - Cobar - Coonamble,2010-11,38522
Broken Hill and Far West,2010-11,38238
Dubbo,2010-11,37539
Lower Hunter,2010-11,40819
Maitland,2010-11,43752
Port Stephens,2010-11,36084
Upper Hunter,2010-11,41976
Dapto - Port Kembla,2010-11,40112
Illawarra Catchment Reserve,2010-11,NA
Kiama - Shellharbour,2010-11,40022
Wollongong,2010-11,42062
Great Lakes,2010-11,28174
Kempsey - Nambucca,2010-11,28748
Lord Howe Island,2010-11,34037
Port Macquarie,2010-11,31857
Taree - Gloucester,2010-11,31331
Albury,2010-11,39127
Lower Murray,2010-11,33148
Upper Murray exc. Albury,2010-11,33284
Armidale,2010-11,34386
Inverell - Tenterfield,2010-11,29596
Moree - Narrabri,2010-11,38230
Tamworth - Gunnedah,2010-11,36897
Lake Macquarie - East,2010-11,41128
Lake Macquarie - West,2010-11,38973
Newcastle,2010-11,42666
Richmond Valley - Coastal,2010-11,30253
Richmond Valley - Hinterland,2010-11,32679
Tweed Valley,2010-11,32655
Griffith - Murrumbidgee (West),2010-11,36113
Tumut - Tumbarumba,2010-11,38441
Wagga Wagga,2010-11,39573
Shoalhaven,2010-11,32771
Southern Highlands,2010-11,35634
Baulkham Hills,2010-11,46633
Dural - Wisemans Ferry,2010-11,41994
Hawkesbury,2010-11,40563
Rouse Hill - McGraths Hill,2010-11,47511
Blacktown,2010-11,42546
Blacktown - North,2010-11,48959
Mount Druitt,2010-11,41746
Botany,2010-11,42936
Marrickville - Sydenham - Petersham,2010-11,46918
Sydney Inner City,2010-11,45040
Eastern Suburbs - North,2010-11,53916
Eastern Suburbs - South,2010-11,47825
Bankstown,2010-11,38303
Canterbury,2010-11,34664
Hurstville,2010-11,39889
Kogarah - Rockdale,2010-11,40063
Canada Bay,2010-11,50538
Leichhardt,2010-11,60313
Strathfield - Burwood - Ashfield,2010-11,40325
Chatswood - Lane Cove,2010-11,52437
Hornsby,2010-11,45245
Ku-ring-gai,2010-11,49719
North Sydney - Mosman,2010-11,61280
Manly,2010-11,49199
Pittwater,2010-11,43607
Warringah,2010-11,44687
Camden,2010-11,48158
Campbelltown (NSW),2010-11,42606
Wollondilly,2010-11,42807
Blue Mountains,2010-11,41231
Blue Mountains - South,2010-11,NA
Penrith,2010-11,45248
Richmond - Windsor,2010-11,41964
St Marys,2010-11,43195
Auburn,2010-11,34000
Carlingford,2010-11,40488
Merrylands - Guildford,2010-11,37714
Parramatta,2010-11,41793
Pennant Hills - Epping,2010-11,45042
Ryde - Hunters Hill,2010-11,44544
Bringelly - Green Valley,2010-11,40856
Fairfield,2010-11,37048
Liverpool,2010-11,43364
Cronulla - Miranda - Caringbah,2010-11,45579
Sutherland - Menai - Heathcote,2010-11,46252
Migratory - Offshore - Shipping (NSW),2010-11,NA
No usual address (NSW),2010-11,NA
Ballarat,2010-11,38689
Creswick - Daylesford - Ballan,2010-11,35409
Maryborough - Pyrenees,2010-11,30919
Bendigo,2010-11,37866
Heathcote - Castlemaine - Kyneton,2010-11,36015
Loddon - Elmore,2010-11,30328
Barwon - West,2010-11,38473
Geelong,2010-11,39445
Surf Coast - Bellarine Peninsula,2010-11,36856
Upper Goulburn Valley,2010-11,34705
Wangaratta - Benalla,2010-11,34880
Wodonga - Alpine,2010-11,37522
Baw Baw,2010-11,36963
Gippsland - East,2010-11,31719
Gippsland - South West,2010-11,33103
Latrobe Valley,2010-11,39818
Wellington,2010-11,36290
Brunswick - Coburg,2010-11,43362
Darebin - South,2010-11,46619
Essendon,2010-11,48285
Melbourne City,2010-11,44625
Port Phillip,2010-11,52862
Stonnington - West,2010-11,53796
Yarra,2010-11,50277
Boroondara,2010-11,49346
Manningham - West,2010-11,38775
Whitehorse - West,2010-11,39933
Bayside,2010-11,49637
Glen Eira,2010-11,44482
Kingston,2010-11,43571
Stonnington - East,2010-11,50000
Banyule,2010-11,44071
Darebin - North,2010-11,38652
Nillumbik - Kinglake,2010-11,44781
Whittlesea - Wallan,2010-11,40813
Keilor,2010-11,42957
Macedon Ranges,2010-11,42928
Moreland - North,2010-11,39175
Sunbury,2010-11,43886
Tullamarine - Broadmeadows,2010-11,38807
Knox,2010-11,41572
Manningham - East,2010-11,44121
Maroondah,2010-11,41719
Whitehorse - East,2010-11,41299
Yarra Ranges,2010-11,39329
Cardinia,2010-11,40606
Casey - North,2010-11,40843
Casey - South,2010-11,41446
Dandenong,2010-11,35691
Monash,2010-11,38253
Brimbank,2010-11,38038
Hobsons Bay,2010-11,45187
Maribyrnong,2010-11,42387
Melton - Bacchus Marsh,2010-11,43374
Wyndham,2010-11,44205
Frankston,2010-11,40235
Mornington Peninsula,2010-11,36827
Grampians,2010-11,35972
Mildura,2010-11,34474
Murray River - Swan Hill,2010-11,32462
Campaspe,2010-11,33419
Moira,2010-11,31731
Shepparton,2010-11,35447
Glenelg - Southern Grampians,2010-11,36904
Colac - Corangamite,2010-11,34495
Warrnambool,2010-11,37561
Migratory - Offshore - Shipping (Vic.),2010-11,NA
No usual address (Vic.),2010-11,NA
Capalaba,2010-11,43181
Cleveland - Stradbroke,2010-11,40351
Wynnum - Manly,2010-11,45472
Bald Hills - Everton Park,2010-11,45102
Chermside,2010-11,44698
Nundah,2010-11,44635
Sandgate,2010-11,43489
Carindale,2010-11,46640
Holland Park - Yeronga,2010-11,45647
Mt Gravatt,2010-11,39610
Nathan,2010-11,41274
Rocklea - Acacia Ridge,2010-11,41466
Sunnybank,2010-11,35031
Centenary,2010-11,47005
Kenmore - Brookfield - Moggill,2010-11,47131
Sherwood - Indooroopilly,2010-11,44271
The Gap - Enoggera,2010-11,46759
Brisbane Inner,2010-11,41026
Brisbane Inner - East,2010-11,50373
Brisbane Inner - North,2010-11,50438
Brisbane Inner - West,2010-11,48758
Cairns - North,2010-11,42036
Cairns - South,2010-11,39218
Innisfail - Cassowary Coast,2010-11,33283
Port Douglas - Daintree,2010-11,32657
Tablelands (East) - Kuranda,2010-11,32493
Darling Downs (West) - Maranoa,2010-11,36116
Darling Downs - East,2010-11,34213
Granite Belt,2010-11,29774
Central Highlands (Qld),2010-11,50146
Rockhampton,2010-11,42635
Biloela,2010-11,39997
Gladstone,2010-11,49388
Broadbeach - Burleigh,2010-11,36045
Coolangatta,2010-11,35298
Gold Coast - North,2010-11,35872
Gold Coast Hinterland,2010-11,34606
Mudgeeraba - Tallebudgera,2010-11,36732
Nerang,2010-11,37031
Ormeau - Oxenford,2010-11,40160
Robina,2010-11,35945
Southport,2010-11,34652
Surfers Paradise,2010-11,34173
Forest Lake - Oxley,2010-11,40530
Ipswich Hinterland,2010-11,35979
Ipswich Inner,2010-11,41992
Springfield - Redbank,2010-11,43373
Beaudesert,2010-11,35095
Beenleigh,2010-11,38193
Browns Plains,2010-11,40508
Jimboomba,2010-11,42405
Loganlea - Carbrook,2010-11,40886
Springwood - Kingston,2010-11,39536
Bowen Basin - North,2010-11,48460
Mackay,2010-11,48479
Whitsunday,2010-11,36546
Bribie - Beachmere,2010-11,31487
Caboolture,2010-11,36228
Caboolture Hinterland,2010-11,33491
Narangba - Burpengary,2010-11,39875
Redcliffe,2010-11,38805
The Hills District,2010-11,45966
North Lakes,2010-11,43967
Strathpine,2010-11,41810
Far North,2010-11,33265
Outback - North,2010-11,50708
Outback - South,2010-11,38243
Buderim,2010-11,35673
Caloundra,2010-11,34320
Maroochy,2010-11,34334
Noosa,2010-11,31525
Sunshine Coast Hinterland,2010-11,31770
Nambour,2010-11,34427
Noosa Hinterland,2010-11,31201
Toowoomba,2010-11,38668
Charters Towers - Ayr - Ingham,2010-11,38025
Townsville,2010-11,46123
Bundaberg,2010-11,33413
Burnett,2010-11,28907
Gympie - Cooloola,2010-11,30722
Hervey Bay,2010-11,31310
Maryborough,2010-11,34059
Migratory - Offshore - Shipping (Qld),2010-11,NA
No usual address (Qld),2010-11,NA
Adelaide City,2010-11,42335
Adelaide Hills,2010-11,41428
Burnside,2010-11,47878
Campbelltown (SA),2010-11,39285
Norwood - Payneham - St Peters,2010-11,43557
Prospect - Walkerville,2010-11,45693
Unley,2010-11,48213
Gawler - Two Wells,2010-11,40429
Playford,2010-11,38090
Port Adelaide - East,2010-11,39058
Salisbury,2010-11,39518
Tea Tree Gully,2010-11,42111
Holdfast Bay,2010-11,43836
Marion,2010-11,40708
Mitcham,2010-11,43533
Onkaparinga,2010-11,39346
Charles Sturt,2010-11,40333
Port Adelaide - West,2010-11,40635
West Torrens,2010-11,40056
Barossa,2010-11,39390
Lower North,2010-11,36309
Mid North,2010-11,37528
Yorke Peninsula,2010-11,33840
Eyre Peninsula and South West,2010-11,40927
Outback - North and East,2010-11,45372
Fleurieu - Kangaroo Island,2010-11,30848
Limestone Coast,2010-11,37138
Murray and Mallee,2010-11,33345
Migratory - Offshore - Shipping (SA),2010-11,NA
No usual address (SA),2010-11,NA
Augusta - Margaret River - Busselton,2010-11,35109
Bunbury,2010-11,43822
Manjimup,2010-11,33963
Mandurah,2010-11,39226
Cottesloe - Claremont,2010-11,54231
Perth City,2010-11,48560
Bayswater - Bassendean,2010-11,45045
Mundaring,2010-11,44691
Swan,2010-11,45068
Joondalup,2010-11,45609
Stirling,2010-11,45664
Wanneroo,2010-11,44274
Armadale,2010-11,44647
Belmont - Victoria Park,2010-11,45861
Canning,2010-11,41855
Gosnells,2010-11,43804
Kalamunda,2010-11,46128
Serpentine - Jarrahdale,2010-11,46561
South Perth,2010-11,49354
Cockburn,2010-11,47191
Fremantle,2010-11,46701
Kwinana,2010-11,45768
Melville,2010-11,45734
Rockingham,2010-11,46095
Albany,2010-11,34511
Wheat Belt - North,2010-11,37343
Wheat Belt - South,2010-11,35241
Kimberley,2010-11,45723
East Pilbara,2010-11,69071
West Pilbara,2010-11,73360
Esperance,2010-11,38665
Gascoyne,2010-11,39967
Goldfields,2010-11,55299
Mid West,2010-11,42344
Migratory - Offshore - Shipping (WA),2010-11,NA
No usual address (WA),2010-11,NA
Brighton,2010-11,38102
Hobart - North East,2010-11,40810
Hobart - North West,2010-11,38284
Hobart - South and West,2010-11,40740
Hobart Inner,2010-11,42053
Sorell - Dodges Ferry,2010-11,37679
